     1.55,     2.76,     2.21,     2.08,     2.06,     1.34,     2.36,     2.73,     2.63,     2.46,     2.99,     2.34,     2.06,     1.84,     1.98,     0.92,     0.71,     0.66,     0.75,     0.72,     0.70,     0.73,     0.69,     0.65,     0.63,     0.61,     0.62,     0.58,     0.58,     0.57,
     2.54,     2.72,     2.57,     2.45,     2.11,     1.18,     2.80,     2.87,     2.81,     2.70,     2.68,     3.17,     2.89,     2.13,     1.93,     1.93,     1.71,     1.04,     0.83,     0.83,     0.98,     0.90,     0.84,     0.87,     0.69,     0.61,     0.62,     0.63,     0.61,     0.61,
     2.85,     3.16,     3.19,     3.14,     2.90,     3.08,     3.09,     3.25,     3.23,     2.86,     3.36,     2.80,     3.13,     2.75,     2.32,     1.20,     2.02,     2.18,     2.43,     2.08,     1.90,     0.86,     1.20,     1.01,     0.75,     0.73,     0.69,     0.60,     0.57,     0.59,
     2.52,     3.04,     2.93,     3.21,     2.49,     2.98,     3.05,     2.93,     2.70,     3.21,     2.46,     3.16,     3.08,     2.13,     2.77,     2.95,     2.42,     2.72,     2.31,     2.20,     1.98,     1.97,     1.94,     1.86,     1.40,     0.76,     0.67,     1.06,     0.96,     1.58,
     2.57,     2.50,     2.64,     2.84,     2.79,     2.67,     2.98,     3.03,     2.97,     3.52,     2.13,     3.12,     3.05,     2.36,     2.78,     2.66,     2.77,     2.24,     2.46,     2.38,     1.81,     1.82,     1.88,     1.97,     1.41,     1.34,     0.80,     1.77,     1.69,     1.63,
     2.45,     2.76,     2.20,     3.02,     2.77,     2.91,     2.94,     2.18,     3.06,     3.53,     2.78,     3.03,     2.81,     2.55,     2.70,     2.04,     3.12,     2.89,     2.45,     2.40,     1.46,     1.75,     1.56,     1.53,     1.59,     1.39,     1.09,     1.22,     0.93,     1.10,
     3.43,     2.96,     2.82,     2.67,     1.75,     2.36,     2.88,     2.84,     2.98,     2.44,     2.84,     2.90,     3.15,     3.19,     2.65,     3.34,     2.90,     2.61,     2.92,     3.23,     2.11,     1.76,     1.72,     1.64,     2.01,     1.81,     0.99,     1.16,     1.48,     1.53,
     3.28,     2.20,     2.74,     2.44,     2.70,     2.88,     2.72,     2.42,     1.66,     2.53,     2.76,     2.80,     2.93,     2.33,     2.74,     1.81,     3.01,     2.34,     2.15,     2.04,     2.49,     2.16,     1.79,     1.69,     1.56,     1.62,     1.38,     1.17,     1.29,     1.21,
     3.06,     3.27,     3.19,     2.76,     2.90,     2.69,     3.12,     3.28,     2.85,     2.68,     3.10,     3.22,     2.81,     2.53,     2.38,     2.35,     2.06,     2.28,     1.71,     2.37,     1.75,     2.04,     1.50,     2.04,     1.78,     1.35,     1.38,     1.32,     1.59,     1.26,
     3.27,     3.26,     3.02,     2.74,     2.12,     2.76,     3.10,     3.29,     2.92,     2.70,     2.39,     2.96,     2.54,     2.36,     2.37,     2.35,     2.08,     2.26,     2.91,     2.59,     2.47,     1.79,     1.39,     1.65,     1.64,     1.23,     1.15,     1.12,     1.17,     0.92,
