 Yr doy   snow   pool_w1   pool_w2  stat_w1   stat_w2
   1 127    600.53     27.67     20.72      0.46      0.26
   1 128    602.48     27.67     20.72      0.46      0.26
   1 129    604.43     27.66     20.73      0.46      0.26
   1 130    606.40     27.66     20.73      0.46      0.26
   1 131    608.33     27.66     20.74      0.46      0.26
   1 132    610.34     27.66     20.74      0.46      0.26
   1 133    612.49     27.66     20.74      0.46      0.26
   1 134    614.72     27.66     20.75      0.46      0.26
   1 135    617.11     27.66     20.75      0.46      0.26
   1 136    619.56     27.66     20.76      0.46      0.26
   1 137    621.81     27.66     20.76      0.46      0.26
   1 138    624.01     27.65     20.76      0.46      0.26
   1 139    626.26     27.65     20.77      0.46      0.26
   1 140    628.33     27.65     20.77      0.46      0.26
   1 141    630.23     27.65     20.78      0.46      0.26
   1 142    632.08     27.65     20.78      0.46      0.26
   1 143    633.96     27.65     20.78      0.46      0.26
   1 144    635.87     27.65     20.79      0.46      0.26
   1 145    637.73     27.65     20.79      0.46      0.26
   1 146    639.56     27.65     20.80      0.46      0.26
   1 147    641.41     27.64     20.80      0.46      0.26
   1 148    643.43     27.64     20.81      0.46      0.26
   1 149    645.45     27.64     20.81      0.46      0.26
   1 150    647.26     27.64     20.82      0.46      0.26
   1 151    649.03     27.64     20.82      0.46      0.26
   1 152    650.78     27.64     20.82      0.46      0.26
   1 153    652.48     27.64     20.83      0.46      0.26
   1 154    654.18     27.64     20.83      0.46      0.26
   1 155    655.90     27.64     20.84      0.46      0.26
   1 156    657.65     27.63     20.84      0.46      0.26
   1 157    659.44     27.63     20.85      0.46      0.26
   1 158    661.38     27.63     20.85      0.46      0.26
   1 159    663.39     27.63     20.85      0.46      0.26
   1 160    665.38     27.63     20.86      0.46      0.26
   1 161    667.20     27.63     20.86      0.46      0.26
   1 162    668.75     27.63     20.87      0.46      0.26
   1 163    670.35     27.63     20.87      0.46      0.26
   1 164    672.15     27.63     20.87      0.46      0.26
   1 165    674.06     27.62     20.88      0.46      0.26
   1 166    676.03     27.62     20.88      0.46      0.26
   1 167    677.77     27.62     20.88      0.46      0.26
   1 168    679.40     27.62     20.89      0.46      0.26
   1 169    681.33     27.62     20.89      0.46      0.26
   1 170    683.35     27.62     20.89      0.46      0.26
   1 171    685.28     27.62     20.90      0.46      0.26
   1 172    687.17     27.62     20.90      0.46      0.26
   1 173    689.24     27.62     20.90      0.46      0.26
   1 174    691.54     27.62     20.91      0.46      0.26
   1 175    693.82     27.61     20.91      0.46      0.26
   1 176    695.99     27.61     20.91      0.46      0.26
   1 177    698.33     27.61     20.92      0.46      0.26
   1 178    700.91     27.61     20.92      0.46      0.26
   1 179    703.26     27.61     20.92      0.46      0.26
   1 180    705.44     27.61     20.93      0.46      0.26
   1 181    707.69     27.61     20.93      0.46      0.26
   1 182    710.09     27.61     20.93      0.46      0.26
   1 183    712.36     27.61     20.94      0.46      0.26
   1 184    714.56     27.60     20.94      0.46      0.26
   1 185    716.85     27.60     20.94      0.46      0.26
   1 186    719.34     27.60     20.94      0.46      0.26
   1 187    721.88     27.60     20.95      0.46      0.26
   1 188    724.50     27.60     20.95      0.46      0.26
   1 189    727.28     27.60     20.95      0.46      0.26
   1 190    729.97     27.60     20.96      0.46      0.26
   1 191    732.51     27.60     20.96      0.45      0.26
   1 192    735.07     27.60     20.96      0.45      0.26
   1 193    737.38     27.59     20.97      0.45      0.26
   1 194    739.60     27.59     20.97      0.45      0.26
   1 195    741.67     27.59     20.97      0.45      0.26
   1 196    743.90     27.59     20.97      0.45      0.26
   1 197    746.28     27.59     20.98      0.45      0.26
   1 198    748.78     27.59     20.98      0.45      0.26
   1 199    751.38     27.59     20.98      0.45      0.26
   1 200    754.13     27.59     20.99      0.45      0.26
   1 201    756.93     27.59     20.99      0.45      0.26
   1 202    759.81     27.58     20.99      0.45      0.26
   1 203    762.71     27.58     20.99      0.45      0.26
   1 204    765.51     27.58     21.00      0.45      0.26
   1 205    768.12     27.58     21.00      0.45      0.26
   1 206    770.71     27.58     21.00      0.45      0.26
   1 207    773.41     27.58     21.01      0.45      0.26
   1 208    776.44     27.58     21.01      0.45      0.26
   1 209    779.66     27.58     21.01      0.45      0.26
   1 210    782.76     27.58     21.01      0.45      0.26
   1 211    785.70     27.57     21.02      0.45      0.26
   1 212    788.52     27.57     21.02      0.45      0.26
   1 213    791.61     27.57     21.02      0.45      0.26
   1 214    794.69     27.57     21.02      0.45      0.26
   1 215    797.79     27.57     21.03      0.45      0.26
   1 216    800.64     27.57     21.03      0.45      0.26
   1 217    803.56     27.57     21.03      0.45      0.26
   1 218    806.59     27.57     21.03      0.45      0.26
   1 219    809.89     27.56     21.04      0.45      0.26
   1 220    813.11     27.56     21.04      0.45      0.26
   1 221    816.29     27.56     21.04      0.45      0.26
   1 222    819.43     27.56     21.04      0.45      0.27
   1 223    822.25     27.56     21.05      0.45      0.27
   1 224    824.98     27.56     21.05      0.45      0.27
   1 225    828.18     27.56     21.05      0.45      0.27
   1 226    831.68     27.56     21.05      0.45      0.27
   1 227    835.43     27.56     21.06      0.45      0.27
   1 228    839.06     27.55     21.06      0.45      0.27
   1 229    842.08     27.55     21.06      0.45      0.27
   1 230    844.97     27.55     21.06      0.45      0.27
   1 231    848.19     27.55     21.07      0.45      0.27
   1 232    851.70     27.55     21.07      0.45      0.27
   1 233    855.22     27.55     21.07      0.45      0.27
   1 234    858.61     27.55     21.07      0.45      0.27
   1 235    862.19     27.55     21.08      0.45      0.27
   1 236    866.31     27.54     21.08      0.45      0.27
   1 237    870.26     27.54     21.08      0.45      0.27
   1 238    873.89     27.54     21.08      0.45      0.27
   1 239    877.58     27.54     21.09      0.45      0.27
   1 240    881.16     27.54     21.09      0.45      0.27
   1 241    884.58     27.54     21.09      0.45      0.27
   1 242    888.41     27.54     21.09      0.45      0.27
   1 243    892.42     27.54     21.10      0.45      0.27
   1 244    896.58     27.54     21.10      0.45      0.27
   1 245    900.42     27.53     21.10      0.45      0.27
   1 246    903.92     27.53     21.10      0.45      0.27
   1 247    907.45     27.53     21.10      0.45      0.27
   1 248    911.19     27.53     21.11      0.45      0.27
   1 249    915.10     27.53     21.11      0.45      0.27
   1 250    918.99     27.53     21.11      0.45      0.27
   1 251    922.97     27.53     21.11      0.45      0.27
   1 252    927.49     27.53     21.12      0.45      0.27
   1 253    932.19     27.52     21.12      0.45      0.27
   1 254    936.70     27.52     21.12      0.45      0.27
   1 255    940.78     27.52     21.12      0.45      0.27
   1 256    944.83     27.52     21.13      0.45      0.27
   1 257    949.00     27.52     21.13      0.45      0.27
   1 258    953.24     27.52     21.13      0.45      0.27
   1 259    957.26     27.52     21.13      0.45      0.27
   1 260    961.60     27.52     21.13      0.45      0.27
   1 261    965.97     27.51     21.14      0.45      0.27
   1 262    970.35     27.51     21.14      0.45      0.27
   1 263    974.67     27.51     21.14      0.45      0.27
   1 264    978.86     27.51     21.14      0.45      0.27
   1 265    983.15     27.51     21.15      0.45      0.27
   1 266    987.74     27.51     21.15      0.45      0.27
   1 267    992.71     27.51     21.15      0.45      0.27
   1 268    997.77     27.51     21.15      0.45      0.27
   1 269   1002.58     27.50     21.16      0.45      0.27
   1 270   1006.89     27.50     21.16      0.45      0.27
   1 271   1011.48     27.50     21.16      0.45      0.27
   1 272   1016.03     27.50     21.16      0.45      0.27
   1 273   1020.35     27.50     21.16      0.45      0.27
   1 274   1024.61     27.50     21.17      0.45      0.27
   1 275   1028.88     27.50     21.17      0.45      0.27
   1 276   1033.19     27.50     21.17      0.45      0.27
   1 277   1037.82     27.49     21.17      0.45      0.27
   1 278   1043.02     27.49     21.18      0.45      0.27
   1 279   1048.43     27.49     21.18      0.45      0.27
   1 280   1053.58     27.49     21.18      0.45      0.27
   1 281   1058.50     27.49     21.18      0.45      0.27
   1 282   1063.52     27.49     21.18      0.45      0.27
   1 283   1068.83     27.49     21.19      0.45      0.27
   1 284   1074.24     27.48     21.19      0.45      0.27
   1 285   1079.41     27.48     21.19      0.45      0.27
   1 286   1084.53     27.48     21.19      0.45      0.27
   1 287   1089.61     27.48     21.20      0.45      0.27
   1 288   1094.62     27.48     21.20      0.45      0.27
   1 289   1099.42     27.48     21.20      0.45      0.27
   1 290   1103.96     27.48     21.20      0.45      0.27
   1 291   1108.53     27.48     21.20      0.45      0.27
   1 292   1113.46     27.47     21.21      0.45      0.27
   1 293   1118.50     27.47     21.21      0.45      0.27
   1 294   1123.73     27.47     21.21      0.45      0.27
   1 295   1128.99     27.47     21.21      0.45      0.27
   1 296   1134.25     27.47     21.22      0.45      0.27
   1 297   1139.45     27.47     21.22      0.45      0.27
   1 298   1144.94     27.47     21.22      0.45      0.27
   1 299   1150.61     27.46     21.22      0.45      0.27
   1 300   1155.99     27.46     21.22      0.45      0.27
   1 301   1161.57     27.46     21.23      0.45      0.27
   1 302   1166.83     27.46     21.23      0.45      0.27
   1 303   1172.11     27.46     21.23      0.45      0.27
   1 304   1177.40     27.46     21.23      0.45      0.27
   1 305   1182.69     27.46     21.24      0.45      0.27
   1 306   1187.93     27.45     21.24      0.45      0.27
   1 307   1193.41     27.45     21.24      0.45      0.27
   1 308   1198.68     27.45     21.24      0.45      0.27
   1 309   1204.33     27.45     21.25      0.45      0.27
   1 310   1210.29     27.45     21.25      0.45      0.27
   1 311   1216.59     27.45     21.25      0.45      0.27
   1 312   1223.17     27.45     21.25      0.45      0.27
   1 313   1229.63     27.45     21.25      0.45      0.27
   1 314   1236.00     27.44     21.26      0.45      0.27
   1 315   1242.22     27.44     21.26      0.45      0.27
   1 316   1248.36     27.44     21.26      0.45      0.27
   1 317   1254.70     27.44     21.26      0.45      0.27
   1 318   1261.15     27.44     21.27      0.45      0.27
   1 319   1267.45     27.44     21.27      0.45      0.27
   1 320   1273.63     27.43     21.27      0.45      0.27
   1 321   1279.62     27.43     21.27      0.45      0.27
   1 322   1285.31     27.43     21.28      0.45      0.27
   1 323   1290.98     27.43     21.28      0.45      0.27
   1 324   1296.40     27.43     21.28      0.45      0.27
   1 325   1301.84     27.43     21.28      0.45      0.27
   1 326   1307.31     27.43     21.29      0.45      0.27
   1 327   1313.00     27.42     21.29      0.45      0.27
   1 328   1318.91     27.42     21.29      0.45      0.27
   1 329   1324.96     27.42     21.29      0.45      0.27
