  -3.24,   0.51,   0.26,  39.95,  80.91,   4.96,
  -7.19,   0.00,   0.00,   6.30,  72.04,   4.19,
  -3.09,   1.39,   1.34,  40.33,  80.14,   7.68,
  -6.49,   1.75,   1.70,  47.63,  81.07,   5.73,
  -2.85,   1.02,   0.91,  38.65,  80.44,   5.78,
  -3.33,   0.77,   0.69,  41.90,  74.11,  10.41,
  -7.28,   0.18,   0.17,  53.74,  81.20,   7.00,
  -7.48,   0.19,   0.18,  44.68,  84.35,   1.84,
  -8.35,   0.73,   0.70,  40.53,  82.08,   1.22,
  -6.33,   1.92,   1.87,  55.21,  85.08,   1.83,
  -8.34,   2.38,   2.31,  44.05,  84.47,   6.29,
  -4.53,   2.48,   2.40,  52.51,  84.56,   2.17,
  -9.80,   0.49,   0.47,  50.49,  83.68,   6.23,
  -9.90,   0.84,   0.82,  50.85,  81.79,   1.30,
  -9.88,   2.78,   2.69,  45.95,  84.43,   5.59,
  -9.14,   3.27,   3.17,  58.37,  84.76,   4.76,
 -11.46,   3.61,   3.49,  51.56,  82.82,   3.62,
 -13.68,   3.36,   3.24,  59.90,  81.12,   6.20,
  -9.11,   2.34,   2.26,  57.04,  83.06,   8.82,
  -7.26,   6.14,   5.94,  52.17,  84.48,   9.08,
 -13.04,   2.29,   2.21,  46.65,  82.28,   6.12,
  -9.97,   9.23,   8.91,  67.44,  81.90,   2.64,
 -12.47,   2.48,   2.39,  54.03,  82.87,  10.08,
 -12.60,   4.18,   4.03,  50.71,  81.69,   4.67,
  -6.90,   1.83,   1.78,  46.41,  82.39,   8.68,
  -5.12,   1.21,   1.18,  44.95,  82.99,   9.81,
  -4.03,   0.43,   0.41,  59.21,  83.32,   2.92,
   2.60,   6.32,   2.23,  65.25,  81.86,   5.92,
  -6.06,   5.30,   5.13,  49.26,  82.88,   9.68,
  -7.49,   4.82,   4.65,  62.61,  84.99,  11.31,
  -7.86,   3.73,   3.58,  63.66,  86.15,   3.46,
  -7.79,  11.29,  10.90,  65.12,  85.61,   3.26,
  -9.00,   7.47,   7.22,  63.69,  84.96,   3.38,
  -8.83,   1.17,   1.37,  54.91,  83.92,   5.95,
  -5.14,   2.73,   3.19,  57.17,  83.12,   7.32,
  -5.25,   4.84,   5.65,  60.12,  86.22,   9.13,
  -9.57,   2.88,   3.37,  50.21,  83.74,   7.52,
  -3.79,   0.91,   1.06,  54.75,  86.43,   5.82,
  -1.82,   0.46,   0.54,  63.22,  82.97,   9.43,
  -5.23,   3.39,   3.95,  56.02,  86.16,   6.24,
 -10.42,   2.10,   2.43,  62.67,  85.27,   4.07,
 -16.13,   2.90,   3.33,  57.01,  80.49,   2.84,
 -14.19,   2.96,   3.44,  51.06,  80.76,   3.20,
 -12.22,   3.40,   3.96,  51.60,  82.03,   6.50,
 -12.18,   1.55,   1.81,  44.35,  82.60,   7.62,
 -12.29,   0.39,   0.46,  68.76,  80.57,   1.43,
 -14.33,   1.57,   1.81,  50.61,  80.31,   2.52,
 -13.80,   1.94,   2.26,  50.72,  81.67,   5.29,
 -11.37,   3.75,   4.36,  53.87,  82.67,   5.00,
 -10.09,   3.82,   4.45,  53.88,  83.26,   8.12,
 -11.19,   3.37,   3.92,  65.56,  82.59,   9.07,
 -12.32,   1.25,   1.45,  62.61,  83.37,   6.00,
 -12.84,   0.05,   0.06,  41.93,  81.70,   0.83,
 -11.55,   0.05,   0.05,  35.83,  79.46,   2.44,
 -12.25,   0.76,   0.88,  36.79,  78.31,   1.64,
 -10.28,   0.72,   0.84,  42.56,  82.14,   4.34,
  -9.30,   0.01,   0.01,  49.51,  72.71,   3.68,
  -6.21,   1.76,   2.04,  69.56,  72.20,   9.86,
  -7.84,   1.11,   1.29,  52.46,  81.02,   6.05,
 -10.68,   0.07,   0.08,  33.23,  72.05,   6.20,
 -14.60,   1.10,   1.27,  40.61,  76.43,   4.18,
 -12.49,   2.03,   2.36,  48.58,  81.92,   4.53,
 -10.71,   1.46,   1.71,  51.15,  82.36,   5.80,
 -10.24,   2.97,   3.46,  62.67,  81.77,   5.72,
 -17.39,   3.87,   4.55,  76.86,  77.89,   9.47,
 -15.65,   1.56,   1.83,  46.94,  80.62,   7.47,
  -9.69,   1.79,   2.09,  57.51,  78.69,   2.46,
  -8.36,   1.16,   1.37,  48.92,  82.41,   7.37,
  -9.03,   3.49,   4.10,  61.52,  83.32,   4.55,
  -7.21,   3.97,   4.65,  58.72,  86.27,   6.43,
  -8.78,   2.04,   2.40,  46.83,  84.94,   7.20,
  -9.39,   1.57,   1.84,  52.35,  85.05,   4.00,
  -9.81,   1.36,   1.60,  42.13,  84.08,   5.27,
 -10.61,   0.67,   0.79,  41.73,  82.44,   3.82,
  -6.64,   0.01,   0.01,  58.29,  75.30,   2.53,
  -2.91,   3.94,   4.48,  54.40,  86.73,   6.36,
  -9.18,   0.00,   0.00,  26.17,  67.73,   5.15,
  -7.75,   0.18,   0.21,  44.55,  53.78,   2.48,
  -3.54,   2.25,   2.65,  62.68,  82.21,   7.12,
  -2.10,   2.14,   2.02,  78.18,  88.58,   4.98,
  -8.23,   0.40,   0.46,  52.36,  82.06,   4.20,
 -11.45,   1.81,   2.13,  46.20,  79.75,   5.71,
  -8.61,   4.21,   4.94,  63.10,  85.14,   7.82,
  -5.37,   1.07,   1.25,  73.26,  82.57,   2.35,
  -3.04,   0.89,   1.05,  63.76,  75.94,   7.48,
  -4.97,   0.15,   0.18,  37.69,  76.44,   7.22,
  -3.46,   0.71,   0.84,  39.53,  77.66,   6.14,
  -7.64,   0.00,   0.00,   9.99,  72.69,   6.71,
  -8.78,   0.00,   0.00,   0.63,  70.62,   3.88,
  -3.99,   0.00,   0.00,  36.61,  76.06,   1.97,
  -0.50,   0.05,   0.05,  62.75,  74.26,   5.62,
  -0.07,   6.92,   4.21,  63.92,  85.24,   6.28,
 -10.22,   7.37,   5.87,  52.43,  80.88,   8.90,
 -10.41,   5.81,   4.62,  43.07,  82.04,   6.19,
  -9.53,   1.40,   1.12,  38.93,  81.00,   3.54,
  -9.10,   0.02,   0.01,  13.16,  74.03,   1.01,
  -6.85,   0.22,   0.17,  24.05,  71.90,   2.46,
  -7.14,   3.78,   3.00,  41.42,  80.83,   4.22,
