-15.,13.6,4,248.769657,270.3753296,5,59,-6.6,-6.6,-6.6,-15.,-15.
-11.,6.1,4,298.5614315,278.4951645,3.2,46,-2.8,-2.8,-2.8,-11.,-11.
-8.5,7.5,0,297.1455352,290.8756618,3.7,63,-0.1,-0.1,-0.1,-8.5,-8.5
-7.3,5.4,7,245.2473976,304.9635967,6,60,1.1,1.1,1.1,-7.3,-7.3
-11.,3,5,318.4651262,285.5051159,8.5,64,-2.8,-2.8,-2.8,-11.,-11.
-11.,2.3,5,328.3515512,280.8600085,6.7,74,-3.5,-3.5,-3.5,-11.,-11.
-9.4,6.4,2,360.8169824,287.6314142,5.2,65,-1,-1,-1,-9.4,-9.4
-5.8,6.5,0,438.1123873,294.1092219,2.7,71,2.6,2.6,2.6,-5.8,-5.8
-5.4,6.6,0,711.2375417,259.6342302,6.4,61,3,3,3,-5.4,-5.4
-8.7,8.2,6,389.2838934,286.4930232,5.1,57,-0.3,-0.3,-0.3,-8.7,-8.7
-10.,4.1,7,354.077937,285.0260138,7.5,76,-1.6,-1.6,-1.6,-10.,-10.
-12.,7.8,0,380.108996,271.0210844,3.6,76,-3.9,-3.9,-3.9,-12.,-12.
-13.,8.2,0,295.6611142,279.0465353,2.5,70,-4.6,-4.6,-4.6,-13.,-13.
-10.,6.3,1,645.3871081,242.7952111,1.8,66,-2.2,-2.2,-2.2,-10.,-10.
-7.6,3.4,0,615.0894061,260.6248392,3.3,80,0.8,0.8,0.8,-7.6,-7.6
-9.6,6.9,10,405.7040727,279.0385725,4.4,83,-1.2,-1.2,-1.2,-9.6,-9.6
-12.,1.8,6,333.5003835,275.4582246,9.2,79,-4.1,-4.1,-4.1,-12.,-12.
-12.,3.6,0,434.2874879,261.7971578,5.8,79,-4.1,-4.1,-4.1,-12.,-12.
-15.,13.5,1,394.7730577,255.6227018,2.9,81,-6.7,-6.7,-6.7,-15.,-15.
-10.,6.5,4,286.247656,291.0976015,3,94,-1.9,-1.9,-1.9,-10.,-10.
-9.4,8,0,391.1824597,281.0136909,3.3,79,-1,-1,-1,-9.4,-9.4
-8.8,8.6,0,632.6473874,251.3822214,2.7,64,-0.4,-0.4,-0.4,-8.8,-8.8
-5.3,3.6,1,282.3731881,314.4925123,4.5,63,3.1,3.1,3.1,-5.3,-5.3
-5.9,9.5,7,281.1035235,311.6095838,6.5,85,2.5,2.5,2.5,-5.9,-5.9
-9.7,4,0,358.0965011,283.374898,7.1,82,-1.3,-1.3,-1.3,-9.7,-9.7
-8.3,6.8,0,527.8861111,267.0312306,2.8,79,0.1,0.1,0.1,-8.3,-8.3
-5.7,11.3,0,354.9176711,302.2738903,4.2,81,2.7,2.7,2.7,-5.7,-5.7
-4.3,8.1,0,811.4879727,248.5538742,4.3,68,4.1,4.1,4.1,-4.3,-4.3
-7.4,10.2,0,772.0445431,238.2741126,2.6,76,1,1,1,-7.4,-7.4
-7.4,6.9,0,498.230292,274.5871224,4.8,86,1,1,1,-7.4,-7.4
-9.7,5.9,0,272.5258194,293.8303184,2.8,76,-1.3,-1.3,-1.3,-9.7,-9.7
-8.5,4.7,0,306.7533695,294.631656,1.8,74,-0.1,-0.1,-0.1,-8.5,-8.5
-8.1,6.9,0,778.8646153,233.3794637,2.7,77,0.3,0.3,0.3,-8.1,-8.1
-6.6,7.2,0,269.0173363,308.2724978,3.3,74,1.8,1.8,1.8,-6.6,-6.6
-5.2,3.2,0,492.5801959,285.1862849,5.5,61,3.2,3.2,3.2,-5.2,-5.2
-7.2,5.3,4,556.5928277,274.977736,3.3,58,1.2,1.2,1.2,-7.2,-7.2
-5.0,7.8,0,871.7117416,252.3061958,2.9,76,3.4,3.4,3.4,-5.0,-5.0
-4.7,10.6,0,868.0587747,254.0799987,3.4,64,3.7,3.7,3.7,-4.7,-4.7
-3.1,13.3,0,845.9243158,264.449369,3.4,64,5.3,5.3,5.3,-3.1,-3.1
-3.2,10.7,0,719.4755308,277.0709074,3.1,58,5.2,5.2,5.2,-3.2,-3.2
-4.8,3.9,0,263.4834653,316.9109535,3.8,85,3.6,3.6,3.6,-4.8,-4.8
-5.1,4.6,1,414.8326605,299.3895247,2.9,85,3.3,3.3,3.3,-5.1,-5.1
-4.7,2.1,5,261.3413249,317.3963936,5.3,59,3.7,3.7,3.7,-4.7,-4.7
-4.7,7.1,5,314.7177685,311.6647062,2.5,59,3.7,3.7,3.7,-4.7,-4.7
-2.4,12.5,0,590.5425839,294.1023655,2.7,70,6,6,6,-2.4,-2.4
-2.7,9.6,0,702.1879663,280.7798119,2.8,97,5.7,5.7,5.7,-2.7,-2.7
-2.2,13.2,0,950.4071326,257.3367979,2.9,81,6.2,6.2,6.2,-2.2,-2.2
0.54,3.8,10,256.1881614,343.9753622,5.7,58,9,9,9,0.54,0.54
-1.8,8.9,1,830.3458518,271.7675503,4.5,66,6.6,6.6,6.6,-1.8,-1.8
-1.8,12.2,0,496.3769434,306.483288,2.6,55,6.6,6.6,6.6,-1.8,-1.8
-1.9,9.7,1,823.9800055,271.7004577,4.5,60,6.5,6.5,6.5,-1.9,-1.9
0.84,16.8,0,756.3763916,293.640258,4.5,54,9.3,9.3,9.3,0.84,0.84
-2.4,6.9,5,268.8453619,326.8933285,6.3,68,6,6,6,-2.4,-2.4
-2.7,8.9,1,901.9859848,259.0580605,5.9,67,5.7,5.7,5.7,-2.7,-2.7
-4.8,7.1,5,371.1875224,304.0895162,4.5,84,3.6,3.6,3.6,-4.8,-4.8
-4.7,6.8,1,294.7523711,312.5312809,3.2,78,3.7,3.7,3.7,-4.7,-4.7
